Cases,cod_munici,year,epiweek,cons_epiweek,municipality,total_population,Temperature,Rainfall,EVI
1,5250,2007,1,1,EL BAGRE,46769,27.37232166,2.544919533,4900.185659
3,5250,2007,2,2,EL BAGRE,46769,27.16997965,10.18762917,3812.10519
1,5250,2007,3,3,EL BAGRE,46769,27.66010752,2.573214609,5666.859822
0,5250,2007,4,4,EL BAGRE,46769,27.75327596,6.629299762,4213.51988
0,5250,2007,5,5,EL BAGRE,46769,27.98921511,1.538995502,NA
2,5250,2007,6,6,EL BAGRE,46769,28.21257063,1.041479841,4441.745256
2,5250,2007,7,7,EL BAGRE,46769,27.94633242,5.585338097,3540.303762
1,5250,2007,8,8,EL BAGRE,46769,27.23086326,1.906433193,4803.085089
1,5250,2007,9,9,EL BAGRE,46769,29.83512699,35.96835301,2458.475409
0,5250,2007,10,10,EL BAGRE,46769,28.43231745,20.34524797,3158.080022
1,5250,2007,11,11,EL BAGRE,46769,28.03607633,19.76918342,3361.702821
3,5250,2007,12,12,EL BAGRE,46769,27.64008829,53.43934818,4674.305672
3,5250,2007,13,13,EL BAGRE,46769,26.01118982,61.20648204,4373.186818
3,5250,2007,14,14,EL BAGRE,46769,25.84343458,87.48248321,NA
2,5250,2007,15,15,EL BAGRE,46769,27.02660845,104.4999085,5176.363449
2,5250,2007,16,16,EL BAGRE,46769,25.77156259,75.0306739,3725.6997
1,5250,2007,17,17,EL BAGRE,46769,25.4326699,94.92040095,4857.459733
0,5250,2007,18,18,EL BAGRE,46769,25.57408671,121.6897116,3198.023492
1,5250,2007,19,19,EL BAGRE,46769,25.69574654,152.446247,4934.881416
2,5250,2007,20,20,EL BAGRE,46769,25.62352177,52.17175729,3652.887239
2,5250,2007,21,21,EL BAGRE,46769,24.21688245,74.63330527,NA
0,5250,2007,22,22,EL BAGRE,46769,24.15217246,87.02991153,3977.437274
2,5250,2007,23,23,EL BAGRE,46769,25.04165523,44.43818864,3332.289239
5,5250,2007,24,24,EL BAGRE,46769,25.71903807,49.07914707,4342.51006
3,5250,2007,25,25,EL BAGRE,46769,26.82003276,34.14979489,2816.317675
2,5250,2007,26,26,EL BAGRE,46769,26.71208471,89.06020147,1867.912744
5,5250,2007,27,27,EL BAGRE,46769,27.13983849,51.90316149,3634.700258
3,5250,2007,28,28,EL BAGRE,46769,26.5850506,34.67856627,4348.865736
5,5250,2007,29,29,EL BAGRE,46769,25.79884117,55.84354765,3405.828086
1,5250,2007,30,30,EL BAGRE,46769,24.81407306,60.42820375,NA
0,5250,2007,31,31,EL BAGRE,46769,26.14493431,160.1855332,5186.667929
4,5250,2007,32,32,EL BAGRE,46769,25.63180194,57.53524195,3353.537447
0,5250,2007,33,33,EL BAGRE,46769,25.52794424,79.45304488,5625.694698
7,5250,2007,34,34,EL BAGRE,46769,25.41366904,123.9674542,3724.902174
3,5250,2007,35,35,EL BAGRE,46769,25.18294917,84.78092699,3679.484039
3,5250,2007,36,36,EL BAGRE,46769,24.59791547,77.86878518,3782.237262
2,5250,2007,37,37,EL BAGRE,46769,25.19802656,115.9397999,NA
1,5250,2007,38,38,EL BAGRE,46769,25.18153881,40.08119489,4161.561722
4,5250,2007,39,39,EL BAGRE,46769,25.36344489,119.7894173,3240.913158
3,5250,2007,40,40,EL BAGRE,46769,24.62753287,62.70395448,4374.948521
1,5250,2007,41,41,EL BAGRE,46769,24.33026482,62.71197926,3049.061359
1,5250,2007,42,42,EL BAGRE,46769,24.51136939,136.394515,4026.910863
0,5250,2007,43,43,EL BAGRE,46769,24.46231632,39.63095295,3580.521865
0,5250,2007,44,44,EL BAGRE,46769,24.26444651,51.10164674,3324.585244
