Cases,cod_munici,year,epiweek,cons_epiweek,municipality,total_population,Temperature,Rainfall,EVI
29,23580,2007,1,1,PUERTO LIBERTADOR,37524,25.85900384,12.62569374,3815.159655
4,23580,2007,2,2,PUERTO LIBERTADOR,37524,24.94234043,31.1664188,3919.581841
2,23580,2007,3,3,PUERTO LIBERTADOR,37524,25.40924073,7.565092329,4888.558576
1,23580,2007,4,4,PUERTO LIBERTADOR,37524,25.45887753,19.34710333,4233.740553
0,23580,2007,5,5,PUERTO LIBERTADOR,37524,26.02060999,4.896084143,NA
1,23580,2007,6,6,PUERTO LIBERTADOR,37524,25.56410678,1.830866107,3983.547185
1,23580,2007,7,7,PUERTO LIBERTADOR,37524,25.36153461,8.338465359,3516.452999
2,23580,2007,8,8,PUERTO LIBERTADOR,37524,25.24220875,8.905083268,3726.917999
5,23580,2007,9,9,PUERTO LIBERTADOR,37524,27.47180227,22.84397879,2551.201711
3,23580,2007,10,10,PUERTO LIBERTADOR,37524,26.24792804,58.65941681,3660.055565
0,23580,2007,11,11,PUERTO LIBERTADOR,37524,25.89768936,32.03867048,3066.491488
1,23580,2007,12,12,PUERTO LIBERTADOR,37524,25.73736424,41.14533183,4818.293945
0,23580,2007,13,13,PUERTO LIBERTADOR,37524,25.26746444,82.33161265,4491.504287
5,23580,2007,14,14,PUERTO LIBERTADOR,37524,25.46327837,109.5137964,3168.088167
161,23580,2007,15,15,PUERTO LIBERTADOR,37524,25.43172251,76.99015624,4016.62624
282,23580,2007,16,16,PUERTO LIBERTADOR,37524,24.25744737,98.98067991,2286.533454
2,23580,2007,17,17,PUERTO LIBERTADOR,37524,24.05532946,194.7582452,2664.405344
11,23580,2007,18,18,PUERTO LIBERTADOR,37524,24.2450783,111.7517722,3184.356729
197,23580,2007,19,19,PUERTO LIBERTADOR,37524,24.94291758,130.922432,5680.994907
412,23580,2007,20,20,PUERTO LIBERTADOR,37524,25.04755736,168.9612824,3568.484224
505,23580,2007,21,21,PUERTO LIBERTADOR,37524,23.65837149,134.0757793,NA
509,23580,2007,22,22,PUERTO LIBERTADOR,37524,24.01731683,104.8301359,2490.260018
469,23580,2007,23,23,PUERTO LIBERTADOR,37524,24.49050862,51.14637521,2344.267563
398,23580,2007,24,24,PUERTO LIBERTADOR,37524,25.06964359,30.64329215,3776.325139
366,23580,2007,25,25,PUERTO LIBERTADOR,37524,25.39415281,48.27477055,3092.889103
354,23580,2007,26,26,PUERTO LIBERTADOR,37524,25.22188799,124.1841606,1653.310465
479,23580,2007,27,27,PUERTO LIBERTADOR,37524,25.5170129,47.51430507,3845.893179
326,23580,2007,28,28,PUERTO LIBERTADOR,37524,24.81766184,94.40187552,2411.443115
385,23580,2007,29,29,PUERTO LIBERTADOR,37524,24.04425862,65.02870538,3482.688042
349,23580,2007,30,30,PUERTO LIBERTADOR,37524,23.97230803,34.08969738,2029.241632
299,23580,2007,31,31,PUERTO LIBERTADOR,37524,24.76579411,69.72849428,4312.9803
281,23580,2007,32,32,PUERTO LIBERTADOR,37524,24.00453621,185.2311319,2664.09055
234,23580,2007,33,33,PUERTO LIBERTADOR,37524,24.28507947,40.66882542,4166.174464
275,23580,2007,34,34,PUERTO LIBERTADOR,37524,24.08568601,69.39366072,2815.911647
285,23580,2007,35,35,PUERTO LIBERTADOR,37524,24.15310429,66.89599448,4312.020999
