Cases,cod_munici,year,epiweek,cons_epiweek,municipality,total_population,Temperature,Rainfall,EVI
0,23807,2007,1,1,TIERRALTA,82550,25.38617471,29.55811875,3508.949532
4,23807,2007,2,2,TIERRALTA,82550,24.6389268,15.81855279,3632.267891
6,23807,2007,3,3,TIERRALTA,82550,25.04067304,11.08416289,4779.428383
6,23807,2007,4,4,TIERRALTA,82550,24.81671377,20.16426548,4105.955618
7,23807,2007,5,5,TIERRALTA,82550,25.36292355,5.431659392,1444.897914
2,23807,2007,6,6,TIERRALTA,82550,25.01167657,2.956066795,4266.436238
2,23807,2007,7,7,TIERRALTA,82550,25.04920335,13.09508384,3489.477075
7,23807,2007,8,8,TIERRALTA,82550,25.058114,9.143057761,3807.425139
4,23807,2007,9,9,TIERRALTA,82550,27.20572236,16.51651707,2670.937252
12,23807,2007,10,10,TIERRALTA,82550,26.06214206,56.75364004,3245.368636
5,23807,2007,11,11,TIERRALTA,82550,25.58182665,30.78108809,3187.75231
3,23807,2007,12,12,TIERRALTA,82550,25.44148922,34.59258189,NA
9,23807,2007,13,13,TIERRALTA,82550,25.18543382,39.07959013,4562.500405
13,23807,2007,14,14,TIERRALTA,82550,25.28904474,98.96463288,2993.290217
13,23807,2007,15,15,TIERRALTA,82550,25.00777353,111.0036047,3424.116156
6,23807,2007,16,16,TIERRALTA,82550,24.03431556,123.1799091,2209.59898
7,23807,2007,17,17,TIERRALTA,82550,23.85958776,186.3288605,3088.801783
11,23807,2007,18,18,TIERRALTA,82550,24.19630395,146.4761164,3188.660463
9,23807,2007,19,19,TIERRALTA,82550,24.79529522,232.1190204,5407.725094
6,23807,2007,20,20,TIERRALTA,82550,24.80844161,227.8184973,3574.207939
7,23807,2007,21,21,TIERRALTA,82550,23.61542845,126.195725,3307.015595
6,23807,2007,22,22,TIERRALTA,82550,23.77731385,189.376809,2874.563815
3,23807,2007,23,23,TIERRALTA,82550,24.01406546,91.1565328,2636.552128
4,23807,2007,24,24,TIERRALTA,82550,24.37561323,97.12615649,3466.359294
10,23807,2007,25,25,TIERRALTA,82550,24.81502334,107.1891684,3292.990811
5,23807,2007,26,26,TIERRALTA,82550,24.59631784,141.0188827,1431.270562
4,23807,2007,27,27,TIERRALTA,82550,24.92580343,113.4539288,3823.184454
9,23807,2007,28,28,TIERRALTA,82550,24.48391638,207.5476701,NA
9,23807,2007,29,29,TIERRALTA,82550,23.78486772,91.10758385,2439.852377
10,23807,2007,30,30,TIERRALTA,82550,23.6184452,38.87485378,1337.211818
