Cases,cod_munici,year,epiweek,cons_epiweek,municipality,total_population,Temperature,Rainfall,EVI
33,52835,2007,1,1,TUMACO,167545,26.35745424,48.15583721,2596.234152
57,52835,2007,2,2,TUMACO,167545,26.27531054,53.82300261,1940.876063
55,52835,2007,3,3,TUMACO,167545,26.26478329,44.89878711,NA
46,52835,2007,4,4,TUMACO,167545,25.90765686,73.6541383,2966.771248
69,52835,2007,5,5,TUMACO,167545,26.51873854,67.66826813,1870.889544
48,52835,2007,6,6,TUMACO,167545,26.5034668,26.90921356,1733.357612
41,52835,2007,7,7,TUMACO,167545,25.99813845,28.5873782,1547.463371
49,52835,2007,8,8,TUMACO,167545,26.2407794,10.162206,1146.050014
52,52835,2007,9,9,TUMACO,167545,26.18804378,27.30933013,1369.603891
27,52835,2007,10,10,TUMACO,167545,25.92814429,87.34083721,3501.344195
32,52835,2007,11,11,TUMACO,167545,25.51221244,104.1237984,1670.298552
19,52835,2007,12,12,TUMACO,167545,25.77279328,43.00874192,NA
1,52835,2007,13,13,TUMACO,167545,25.52379621,57.35225444,3092.928032
2,52835,2007,14,14,TUMACO,167545,25.90307807,85.57987372,2181.687641
4,52835,2007,15,15,TUMACO,167545,26.02297793,61.41456856,3855.085173
5,52835,2007,16,16,TUMACO,167545,25.51658057,79.72742497,1575.471898
2,52835,2007,17,17,TUMACO,167545,25.78731231,118.680672,2605.48257
5,52835,2007,18,18,TUMACO,167545,26.23962717,97.86419817,1438.33296
6,52835,2007,19,19,TUMACO,167545,26.48898868,74.20660187,NA
6,52835,2007,20,20,TUMACO,167545,26.42569171,55.09311767,2624.450291
15,52835,2007,21,21,TUMACO,167545,25.52650709,50.50769729,1790.285835
10,52835,2007,22,22,TUMACO,167545,24.8984848,75.58569149,2807.542225
5,52835,2007,23,23,TUMACO,167545,25.34741721,62.84989915,1522.719372
7,52835,2007,24,24,TUMACO,167545,25.88296576,34.49893024,1344.085031
10,52835,2007,25,25,TUMACO,167545,26.00414073,16.90766294,1283.651892
8,52835,2007,26,26,TUMACO,167545,26.14492045,18.53919237,2181.463645
15,52835,2007,27,27,TUMACO,167545,26.57254211,9.545173103,2485.240328
17,52835,2007,28,28,TUMACO,167545,25.32659681,16.20585839,NA
10,52835,2007,29,29,TUMACO,167545,25.25018167,90.37870397,2484.96881
17,52835,2007,30,30,TUMACO,167545,25.83167114,78.0425979,889.8513894
22,52835,2007,31,31,TUMACO,167545,26.24492081,11.63092959,4531.393576
8,52835,2007,32,32,TUMACO,167545,25.58421106,34.5511584,666.010494
3,52835,2007,33,33,TUMACO,167545,25.71805552,33.86581581,2733.04198
2,52835,2007,34,34,TUMACO,167545,25.69125239,22.49427358,3024.781439
0,52835,2007,35,35,TUMACO,167545,25.19417301,19.5082543,NA
1,52835,2007,36,36,TUMACO,167545,26.20677632,15.26933625,3069.761016
5,52835,2007,37,37,TUMACO,167545,25.77293399,19.60458555,1454.49228
0,52835,2007,38,38,TUMACO,167545,26.00791064,12.91249037,2614.213465
2,52835,2007,39,39,TUMACO,167545,25.84074941,21.65308656,1502.431138
2,52835,2007,40,40,TUMACO,167545,26.15457175,13.79786908,3591.704688
2,52835,2007,41,41,TUMACO,167545,25.37658424,45.88066487,2517.317094
1,52835,2007,42,42,TUMACO,167545,25.00169204,26.58347385,2706.205382
4,52835,2007,43,43,TUMACO,167545,25.11783593,17.5052404,2906.493688
6,52835,2007,44,44,TUMACO,167545,25.18541413,9.536219139,NA
11,52835,2007,45,45,TUMACO,167545,24.86947866,24.32505481,1317.244151
13,52835,2007,46,46,TUMACO,167545,25.04441176,49.52688719,1601.578225
27,52835,2007,47,47,TUMACO,167545,25.52687638,45.19257637,764.7730478
18,52835,2007,48,48,TUMACO,167545,25.26106942,40.41267634,3202.128036
17,52835,2007,49,49,TUMACO,167545,25.28302807,20.78683097,2962.301695
11,52835,2007,50,50,TUMACO,167545,24.33435135,19.24727975,3054.138908
4,52835,2007,51,51,TUMACO,167545,24.527072,18.96559454,NA
14,52835,2007,52,52,TUMACO,167545,24.99287029,56.59201963,3233.303607
38,52835,2008,1,53,TUMACO,171281,24.74451135,61.42725751,1019.916428
47,52835,2008,2,54,TUMACO,171281,24.8487706,41.74450255,3710.298984
24,52835,2008,3,55,TUMACO,171281,24.75041427,23.56223999,1459.541318
23,52835,2008,4,56,TUMACO,171281,25.12161015,49.5422304,2746.41568
7,52835,2008,5,57,TUMACO,171281,24.91091179,22.3045136,1673.155458
25,52835,2008,6,58,TUMACO,171281,24.80772001,25.78190383,3345.783275
19,52835,2008,7,59,TUMACO,171281,25.62437259,99.74456186,2912.52722
17,52835,2008,8,60,TUMACO,171281,24.59325024,53.18172323,NA
29,52835,2008,9,61,TUMACO,171281,24.90608029,76.64555932,2687.74681
43,52835,2008,10,62,TUMACO,171281,25.00975636,53.84653711,2060.24675
27,52835,2008,11,63,TUMACO,171281,24.91609307,33.49879067,1021.274695
15,52835,2008,12,64,TUMACO,171281,25.44916141,105.0094914,1932.590461
35,52835,2008,13,65,TUMACO,171281,25.48276309,91.55126814,1121.963321
41,52835,2008,14,66,TUMACO,171281,25.30230428,20.09475048,2643.339211
34,52835,2008,15,67,TUMACO,171281,25.21484135,20.17985899,NA
24,52835,2008,16,68,TUMACO,171281,25.63334636,46.79923715,1967.692797
33,52835,2008,17,69,TUMACO,171281,25.5123389,37.6887783,1399.142668
36,52835,2008,18,70,TUMACO,171281,24.95774542,53.33530747,2391.704911
68,52835,2008,19,71,TUMACO,171281,25.37344541,39.63719888,2574.622462
44,52835,2008,20,72,TUMACO,171281,25.37420277,73.2765166,4200.866612
39,52835,2008,21,73,TUMACO,171281,25.02723153,38.77371657,2658.7743
30,52835,2008,22,74,TUMACO,171281,24.98090866,52.15215639,1426.037661
8,52835,2008,23,75,TUMACO,171281,25.12910951,37.72971331,2954.47061
9,52835,2008,24,76,TUMACO,171281,25.21926323,46.34346571,NA
9,52835,2008,25,77,TUMACO,171281,25.07888535,64.10842073,3986.837487
7,52835,2008,26,78,TUMACO,171281,25.22283556,38.38259125,1439.233469
24,52835,2008,27,79,TUMACO,171281,25.34508586,19.00591447,1754.689372
31,52835,2008,28,80,TUMACO,171281,25.22804779,42.12750533,254.4559687
26,52835,2008,29,81,TUMACO,171281,25.23551883,37.70085243,1978.339814
35,52835,2008,30,82,TUMACO,171281,25.81816149,17.34375204,1851.09715
44,52835,2008,31,83,TUMACO,171281,25.63275992,42.20156286,NA
33,52835,2008,32,84,TUMACO,171281,25.87348881,13.77466915,1974.531087
38,52835,2008,33,85,TUMACO,171281,25.97378395,34.65934049,1784.498798
52,52835,2008,34,86,TUMACO,171281,25.75852181,31.71751047,2152.412438
42,52835,2008,35,87,TUMACO,171281,25.65812132,37.16297167,2391.957649
39,52835,2008,36,88,TUMACO,171281,25.9000058,23.67667434,1824.236232
63,52835,2008,37,89,TUMACO,171281,26.16861146,6.563416447,3096.419713
58,52835,2008,38,90,TUMACO,171281,26.26505314,20.63300261,1425.299804
27,52835,2008,39,91,TUMACO,171281,25.98354303,21.94917637,3019.786124
48,52835,2008,40,92,TUMACO,171281,25.91272932,22.92310146,NA
45,52835,2008,41,93,TUMACO,171281,25.44262329,22.31010321,3721.578813
27,52835,2008,42,94,TUMACO,171281,25.5644026,23.06643388,2835.304462
38,52835,2008,43,95,TUMACO,171281,26.00911506,56.3086792,2177.450137
53,52835,2008,44,96,TUMACO,171281,25.31600982,57.98340136,631.1019856
48,52835,2008,45,97,TUMACO,171281,25.04129645,41.28192398,421.8138455
39,52835,2008,46,98,TUMACO,171281,25.82685363,42.09017473,1637.309732
35,52835,2008,47,99,TUMACO,171281,25.63064538,8.191474182,NA
37,52835,2008,48,100,TUMACO,171281,25.17960422,12.35084945,3281.395592
54,52835,2008,49,101,TUMACO,171281,25.13844002,21.02722441,1922.814816
60,52835,2008,50,102,TUMACO,171281,25.53490601,46.68706308,2600.470658
72,52835,2008,51,103,TUMACO,171281,25.11487235,31.34608688,2701.778108
52,52835,2008,52,104,TUMACO,171281,25.46750285,18.63165558,3767.259256
21,52835,2008,53,105,TUMACO,171281,25.45655388,30.75162261,2866.045833
35,52835,2009,1,106,TUMACO,175093,25.33217558,69.32657069,1636.014404
35,52835,2009,2,107,TUMACO,175093,25.32210822,64.61807264,1598.908969
29,52835,2009,3,108,TUMACO,175093,25.6177929,25.0768423,NA
35,52835,2009,4,109,TUMACO,175093,25.30999852,59.4127766,1166.58056
12,52835,2009,5,110,TUMACO,175093,25.51683713,62.05524659,2398.136634
18,52835,2009,6,111,TUMACO,175093,25.72519145,69.44160856,3294.681841
26,52835,2009,7,112,TUMACO,175093,25.40687267,21.76675734,2757.287304
38,52835,2009,8,113,TUMACO,175093,25.65714533,63.26365431,2565.473988
45,52835,2009,9,114,TUMACO,175093,25.77704981,71.42735541,250.8362896
47,52835,2009,10,115,TUMACO,175093,25.990558,12.10666724,NA
68,52835,2009,11,116,TUMACO,175093,25.20616322,38.728739,2547.580537
30,52835,2009,12,117,TUMACO,175093,25.51546405,28.27273426,2696.353679
36,52835,2009,13,118,TUMACO,175093,25.85577301,11.83623484,3126.988665
25,52835,2009,14,119,TUMACO,175093,25.7902301,25.72229824,2210.30131
29,52835,2009,15,120,TUMACO,175093,26.01966132,24.53763399,3349.836385
35,52835,2009,16,121,TUMACO,175093,26.0714655,98.64472261,1717.343697
58,52835,2009,17,122,TUMACO,175093,26.44632803,135.4557265,2658.913926
62,52835,2009,18,123,TUMACO,175093,26.52928453,25.87684837,2678.25507
35,52835,2009,19,124,TUMACO,175093,26.61919352,22.82828246,NA
33,52835,2009,20,125,TUMACO,175093,26.77060071,14.991344,2839.468821
21,52835,2009,21,126,TUMACO,175093,26.63383956,31.39160557,2244.788344
33,52835,2009,22,127,TUMACO,175093,26.66370176,39.0227037,1985.223111
19,52835,2009,23,128,TUMACO,175093,26.57818338,45.17640023,2758.31583
18,52835,2009,24,129,TUMACO,175093,26.15338589,37.49787583,262.0609585
9,52835,2009,25,130,TUMACO,175093,26.69734531,28.6899977,1601.363406
7,52835,2009,26,131,TUMACO,175093,26.5964491,29.05799793,NA
15,52835,2009,27,132,TUMACO,175093,26.55772355,20.36898082,1050.779674
45,52835,2009,28,133,TUMACO,175093,27.33727215,14.70495295,1749.270556
19,52835,2009,29,134,TUMACO,175093,26.70652447,17.37296671,3735.392723
68,52835,2009,30,135,TUMACO,175093,27.14021399,13.34483281,1803.092343
24,52835,2009,31,136,TUMACO,175093,26.78335108,9.447987328,1176.22539
25,52835,2009,32,137,TUMACO,175093,26.82133044,20.32634765,2362.18546
12,52835,2009,33,138,TUMACO,175093,26.44391789,46.04037185,1770.035821
4,52835,2009,34,139,TUMACO,175093,26.84427766,54.2389315,781.9651532
9,52835,2009,35,140,TUMACO,175093,26.95798673,26.24148204,NA
107,52835,2009,36,141,TUMACO,175093,26.94556884,31.1808249,1068.369097
16,52835,2009,37,142,TUMACO,175093,26.64998423,22.55113891,1493.508752
8,52835,2009,38,143,TUMACO,175093,26.71750743,16.9878872,1587.315188
3,52835,2009,39,144,TUMACO,175093,26.87966613,5.438999684,1029.032205
15,52835,2009,40,145,TUMACO,175093,26.9885745,57.8833638,1452.848391
5,52835,2009,41,146,TUMACO,175093,26.39707936,25.99022291,1929.916088
13,52835,2009,42,147,TUMACO,175093,25.98733931,11.66025326,NA
7,52835,2009,43,148,TUMACO,175093,26.58235013,19.91625236,2121.528892
7,52835,2009,44,149,TUMACO,175093,26.33453823,7.04106495,1880.298909
23,52835,2009,45,150,TUMACO,175093,25.88819054,28.07623654,2001.185826
8,52835,2009,46,151,TUMACO,175093,26.48601392,24.32177401,59.01377871
13,52835,2009,47,152,TUMACO,175093,26.46768293,34.26389909,2517.54425
13,52835,2009,48,153,TUMACO,175093,25.879523,56.99805308,2077.267073
38,52835,2009,49,154,TUMACO,175093,25.94959191,25.93805568,1440.18905
36,52835,2009,50,155,TUMACO,175093,25.97384411,61.10011709,1742.592944
14,52835,2009,51,156,TUMACO,175093,25.69204029,41.59797978,NA
17,52835,2009,52,157,TUMACO,175093,25.95423359,24.09282127,2943.349198
15,52835,2010,1,158,TUMACO,179005,26.26191773,59.8185203,1195.867166
12,52835,2010,2,159,TUMACO,179005,26.35116283,54.73877095,2974.575946
10,52835,2010,3,160,TUMACO,179005,26.3856137,57.27338118,2446.441131
17,52835,2010,4,161,TUMACO,179005,26.33102926,63.0648319,1377.330815
