Cases,cod_munici,year,epiweek,cons_epiweek,municipality,total_population,Temperature,Rainfall,EVI
1,5895,2007,1,1,ZARAGOZA,27708,26.234831,4.183510745,4435.535583
0,5895,2007,2,2,ZARAGOZA,27708,25.8712207,29.59693797,3958.276361
0,5895,2007,3,3,ZARAGOZA,27708,26.53727108,3.322236451,5236.669257
0,5895,2007,4,4,ZARAGOZA,27708,26.78416071,8.448536454,4523.132044
0,5895,2007,5,5,ZARAGOZA,27708,27.29391903,2.59382912,NA
0,5895,2007,6,6,ZARAGOZA,27708,27.54785096,1.614188328,4352.432526
1,5895,2007,7,7,ZARAGOZA,27708,27.1577,6.836967038,3605.810363
0,5895,2007,8,8,ZARAGOZA,27708,26.86387895,3.620587425,4260.952521
0,5895,2007,9,9,ZARAGOZA,27708,29.63387047,29.32364655,2216.9067
1,5895,2007,10,10,ZARAGOZA,27708,27.4691645,46.22234526,3721.640563
1,5895,2007,11,11,ZARAGOZA,27708,27.3121751,18.50813321,3424.664827
1,5895,2007,12,12,ZARAGOZA,27708,27.04360697,39.06174767,4644.419017
1,5895,2007,13,13,ZARAGOZA,27708,25.57484013,117.5332999,4607.77385
1,5895,2007,14,14,ZARAGOZA,27708,25.38221373,81.41107792,NA
1,5895,2007,15,15,ZARAGOZA,27708,26.05841902,93.3988707,5222.123429
0,5895,2007,16,16,ZARAGOZA,27708,24.72419683,67.59759187,3970.028131
2,5895,2007,17,17,ZARAGOZA,27708,24.73616605,121.3099027,4191.719068
3,5895,2007,18,18,ZARAGOZA,27708,24.59673607,106.2092888,3160.756524
3,5895,2007,19,19,ZARAGOZA,27708,25.0449349,112.1894903,5260.707816
2,5895,2007,20,20,ZARAGOZA,27708,25.05360282,74.72035534,4142.051463
1,5895,2007,21,21,ZARAGOZA,27708,23.69015163,61.23305037,NA
1,5895,2007,22,22,ZARAGOZA,27708,23.77547171,67.92042969,3536.37435
3,5895,2007,23,23,ZARAGOZA,27708,24.66255439,29.95299358,3505.274314
2,5895,2007,24,24,ZARAGOZA,27708,25.25688804,34.60129873,4149.689285
2,5895,2007,25,25,ZARAGOZA,27708,25.82644365,43.5665887,3576.328219
1,5895,2007,26,26,ZARAGOZA,27708,25.66481781,103.1452047,1547.746509
0,5895,2007,27,27,ZARAGOZA,27708,25.91793851,50.80704191,4163.622567
2,5895,2007,28,28,ZARAGOZA,27708,25.36335945,31.85878368,3687.769037
0,5895,2007,29,29,ZARAGOZA,27708,24.517073,49.33175808,3396.23771
1,5895,2007,30,30,ZARAGOZA,27708,23.81708857,30.4390784,NA
